iter	Passed	Remaining
462	769	892
463	770	889
464	771	887
465	772	884
466	773	883
467	775	881
468	776	879
469	777	877
470	779	875
471	780	873
472	781	870
473	782	868
474	783	865
475	784	863
476	785	861
477	786	859
478	787	856
479	789	855
480	790	853
481	791	851
482	792	848
483	793	846
484	794	844
485	795	841
486	796	839
487	797	837
488	799	835
489	800	832
490	801	830
491	802	828
492	804	827
493	805	825
494	806	823
495	807	820
496	808	818
497	809	816
498	810	813
499	811	811
500	812	809
501	813	807
502	814	804
503	815	802
504	816	800
505	817	798
506	819	797
507	820	794
508	821	792
509	822	790
510	823	788
511	824	785
512	825	784
513	826	781
514	827	779
515	828	777
516	829	775
517	830	772
518	831	770
519	832	768
520	834	767
521	835	765
522	836	762
523	837	760
524	838	758
525	839	756
526	840	754
527	841	752
528	842	750
529	843	748
530	844	745
531	845	744
532	846	741
533	849	741
534	851	740
535	852	738
536	854	736
537	855	734
538	856	732
539	857	730
540	859	728
541	860	726
542	861	724
543	863	723
544	865	722
545	868	722
546	870	721
547	872	719
548	923	759
549	925	757
550	928	756
551	930	755
552	945	764
553	947	762
554	948	760
555	950	759
556	952	757
557	953	755
558	955	753
559	956	751
560	974	762
561	977	761
562	978	759
563	980	757
564	981	755
565	983	753
566	984	751
567	986	750
568	989	749
569	991	747
570	993	746
571	994	744
572	996	742
573	997	740
574	999	738
575	1000	736
576	1004	736
577	1006	734
578	1007	732
579	1010	731
580	1017	733
581	1020	732
582	1023	731
583	1024	729
584	1026	727
585	1027	726
586	1029	724
587	1030	722
588	1034	721
589	1035	719
590	1037	717
591	1038	715
592	1039	713
593	1041	711
594	1042	709
595	1043	707
596	1045	705
597	1049	705
598	1050	703
599	1051	701
600	1053	699
601	1054	697
602	1055	694
603	1056	692
604	1057	690
605	1058	688
606	1059	685
607	1060	683
608	1062	682
609	1064	680
610	1066	678
611	1067	676
612	1068	674
613	1070	672
614	1071	670
615	1073	669
616	1074	667
617	1075	664
618	1079	664
619	1081	662
620	1082	660
621	1083	658
622	1085	656
623	1087	655
624	1088	653
625	1090	651
626	1093	650
627	1094	648
628	1096	646
629	1097	644
630	1098	642
631	1099	640
632	1100	638
633	1101	636
634	1102	633
635	1104	631
636	1105	629
637	1110	630
638	1116	630
639	1118	628
640	1120	627
641	1123	626
642	1125	625
643	1127	623
644	1128	621
645	1130	619
646	1131	617
647	1132	615
648	1133	613
649	1134	610
650	1135	608
651	1136	606
652	1138	605
653	1139	603
654	1140	600
655	1141	598
656	1142	596
657	1143	594
658	1144	592
659	1145	590
660	1146	588
661	1147	585
662	1148	583
663	1149	581
664	1150	579
665	1152	578
666	1154	576
667	1155	574
668	1156	572
669	1157	569
670	1158	567
671	1159	565
672	1160	563
673	1161	561
674	1162	559
675	1163	557
676	1164	555
677	1165	553
678	1166	551
679	1168	549
680	1169	547
681	1170	545
682	1171	543
683	1172	541
684	1173	539
685	1174	537
686	1175	535
687	1176	533
688	1177	531
689	1178	529
690	1179	527
691	1180	525
692	1182	523
693	1184	522
694	1185	520
695	1186	518
696	1187	516
697	1188	514
698	1188	511
699	1189	509
700	1190	507
701	1191	505
702	1192	503
703	1193	501
704	1194	499
705	1195	497
706	1198	496
707	1199	494
708	1200	492
709	1201	490
710	1202	488
711	1203	486
712	1204	484
713	1205	482
714	1206	480
715	1207	479
716	1208	477
717	1209	475
718	1210	473
719	1212	471
720	1214	469
721	1215	467
722	1216	466
723	1218	464
724	1219	462
725	1220	460
726	1221	458
727	1223	456
728	1224	455
729	1225	453
730	1227	451
731	1228	449
732	1229	448
733	1231	446
734	1232	444
735	1232	442
736	1234	440
737	1235	438
738	1236	436
739	1237	434
740	1238	432
741	1238	430
742	1239	428
743	1242	427
744	1243	425
745	1244	423
746	1245	421
747	1246	419
748	1247	418
749	1249	416
750	1250	414
751	1251	412
752	1252	410
753	1253	408
754	1254	407
755	1256	405
756	1257	403
757	1258	401
758	1259	400
759	1260	398
760	1262	396
761	1263	394
762	1264	392
763	1265	390
764	1266	388
765	1267	387
766	1268	385
767	1268	383
768	1269	381
769	1272	380
770	1273	378
771	1274	376
772	1275	374
773	1276	372
774	1277	370
775	1278	369
776	1279	367
777	1280	365
778	1281	363
779	1282	361
780	1283	359
781	1284	358
782	1286	356
783	1287	354
784	1288	352
785	1289	351
786	1291	349
787	1292	347
788	1293	345
789	1293	343
790	1294	342
791	1295	340
792	1296	338
793	1297	336
794	1298	334
795	1300	333
796	1302	331
797	1304	330
798	1305	328
799	1306	326
800	1307	324
801	1308	323
802	1309	321
803	1310	319
804	1311	317
805	1312	315
806	1313	314
807	1314	312
808	1316	310
809	1317	309
810	1318	307
811	1319	305
812	1320	303
813	1321	302
814	1322	300
815	1323	298
816	1324	296
817	1325	295
818	1326	293
819	1327	291
820	1328	289
821	1331	288
822	1332	286
823	1333	284
824	1334	283
825	1335	281
826	1336	279
827	1337	277
828	1338	276
829	1339	274
830	1340	272
831	1341	270
832	1342	269
833	1343	267
834	1345	265
835	1347	264
836	1348	262
837	1349	260
838	1350	259
839	1351	257
840	1352	255
841	1353	253
842	1354	252
843	1355	250
844	1356	248
845	1357	247
846	1358	245
847	1360	243
848	1362	242
849	1363	240
850	1364	238
851	1365	237
852	1366	235
853	1367	233
854	1368	232
855	1369	230
856	1370	228
857	1371	226
858	1372	225
859	1373	223
860	1375	222
861	1376	220
862	1377	218
863	1378	217
864	1379	215
865	1380	213
866	1381	211
867	1382	210
868	1383	208
869	1384	206
870	1385	205
871	1386	203
872	1387	201
873	1388	200
874	1390	198
875	1391	197
876	1393	195
877	1394	193
878	1395	192
879	1396	190
880	1397	188
881	1398	187
882	1399	185
883	1400	183
884	1401	182
885	1402	180
886	1404	178
887	1406	177
888	1407	175
889	1408	174
890	1409	172
891	1410	170
892	1411	169
893	1412	167
894	1412	165
895	1413	164
896	1415	162
897	1416	160
898	1417	159
899	1418	157
900	1420	156
901	1421	154
902	1422	152
903	1423	151
904	1424	149
905	1425	147
906	1426	146
907	1427	144
908	1428	142
909	1429	141
910	1430	139
911	1431	138
912	1432	136
913	1434	134
914	1435	133
915	1436	131
916	1437	130
917	1438	128
918	1439	126
919	1440	125
920	1441	123
921	1442	122
922	1443	120
923	1444	118
924	1445	117
925	1446	115
926	1447	113
927	1449	112
928	1450	110
929	1451	109
930	1452	107
931	1453	106
932	1454	104
933	1455	102
934	1456	101
935	1457	99
936	1458	98
937	1459	96
938	1460	94
939	1461	93
940	1463	91
941	1465	90
942	1466	88
943	1467	87
944	1468	85
945	1469	83
946	1470	82
947	1471	80
948	1472	79
949	1473	77
950	1474	75
951	1475	74
952	1476	72
953	1478	71
954	1480	69
955	1481	68
956	1482	66
957	1483	65
958	1484	63
959	1485	61
960	1486	60
961	1488	58
962	1489	57
963	1491	55
964	1493	54
965	1495	52
966	1497	51
967	1498	49
968	1499	47
969	1500	46
970	1501	44
971	1502	43
972	1503	41
973	1504	40
974	1505	38
975	1507	37
976	1509	35
977	1510	33
978	1511	32
979	1512	30
980	1513	29
981	1514	27
982	1515	26
983	1516	24
984	1517	23
985	1518	21
986	1519	20
987	1520	18
988	1521	16
989	1523	15
990	1524	13
991	1525	12
992	1526	10
993	1527	9
994	1528	7
995	1529	6
996	1530	4
997	1531	3
998	1532	1
999	1533	0
